Wall time,Step,Value
1654536853.6538706,0,5.516634941101074
1654536866.8763912,100,4.286207675933838
1654536880.2269912,200,4.490119457244873
1654536893.0862556,300,4.219080448150635
1654536906.533885,400,4.315934658050537
1654536919.0864668,500,4.047243595123291
1654536931.6899378,600,4.237889289855957
1654536943.233086,700,4.043859481811523
1654536955.7942376,800,3.761913299560547
1654536967.8975031,900,3.970616102218628
1654536980.5046701,1000,3.6219286918640137
1654536993.111691,1100,3.798799991607666
1654537005.190331,1200,3.7967166900634766
1654537017.2013435,1300,3.88686203956604
1654537029.36315,1400,3.666922092437744
1654537041.56611,1500,3.5779523849487305
1654537053.6530344,1600,3.814913272857666
1654537066.2733736,1700,3.6702606678009033
1654537078.3995955,1800,3.566917657852173
1654537090.5342724,1900,3.5259923934936523
1654537102.6949592,2000,3.609510660171509
1654537114.7708695,2100,3.442385673522949
1654537126.8967965,2200,3.583610773086548
1654537139.0083363,2300,3.365281820297241
1654537151.1934526,2400,3.2292935848236084
1654537163.5073142,2500,3.4661779403686523
1654537175.6828532,2600,3.3640875816345215
1654537187.8540497,2700,3.237797260284424
1654537199.981316,2800,3.2540581226348877
1654537212.1527915,2900,3.295621156692505
1654537224.344107,3000,3.1773569583892822
1654537236.4959068,3100,3.3007607460021973
1654537248.7156467,3200,3.348701000213623
1654537260.911083,3300,2.9327125549316406
1654537273.0277028,3400,3.0254578590393066
1654537285.1904838,3500,2.9700944423675537
1654537297.4599347,3600,3.186309814453125
1654537309.6267455,3700,2.9883151054382324
1654537321.854731,3800,3.0985710620880127
1654537333.9733927,3900,2.9648876190185547
1654537346.1661906,4000,2.6971750259399414
1654537358.3722684,4100,3.0177128314971924
1654537370.5772018,4200,2.92289137840271
1654537382.762856,4300,2.881448745727539
1654537395.0132873,4400,2.933136463165283
1654537407.1701248,4500,3.066387891769409
1654537419.3795686,4600,3.021049976348877
1654537431.5580919,4700,2.8555948734283447
1654537443.5592074,4800,2.895218849182129
1654537455.5256796,4900,2.8447306156158447
1654537467.4353874,5000,3.1738622188568115
1654537479.3681548,5100,2.877124547958374
1654537491.2920415,5200,2.993772268295288
1654537503.273478,5300,2.8800783157348633
