Wall time,Step,Value
1654516755.9308038,0,11694.619140625
1654516767.0123358,100,9355.6220703125
1654516777.5368633,200,9053.087890625
1654516788.8321493,300,9188.1494140625
1654516799.421975,400,8764.3642578125
1654516810.266777,500,8790.44921875
1654516821.1160977,600,8389.376953125
1654516832.3664646,700,8526.046875
1654516843.1573875,800,8301.525390625
1654516854.3924057,900,7866.9404296875
1654516865.0204148,1000,8547.4169921875
1654516875.9354599,1100,8196.6318359375
1654516886.8347275,1200,7798.4638671875
1654516897.5443099,1300,7904.97021484375
1654516908.6020374,1400,7808.912109375
1654516919.3200305,1500,7623.396484375
1654516929.8680449,1600,7875.4365234375
1654516940.5787573,1700,7812.2197265625
1654516951.3737657,1800,7740.251953125
1654516961.8838031,1900,7586.755859375
1654516972.6574001,2000,7508.0556640625
1654516983.541896,2100,7511.1416015625
1654516994.0958285,2200,7380.4423828125
1654517005.2809126,2300,7914.41943359375
1654517016.3672147,2400,7204.6552734375
1654517027.8394582,2500,7188.6650390625
1654517038.8973222,2600,7293.2333984375
1654517050.338335,2700,7473.8115234375
1654517061.2247596,2800,7498.20068359375
1654517072.3320987,2900,7571.63671875
1654517083.4729533,3000,7368.8310546875
1654517094.566208,3100,7252.99853515625
1654517105.8197036,3200,7077.97265625
1654517117.1355102,3300,6590.7333984375
1654517127.8280406,3400,6515.341796875
1654517139.6171246,3500,6908.82373046875
1654517150.6491237,3600,6655.99560546875
1654517161.5786538,3700,7244.4052734375
1654517172.6820655,3800,7069.3876953125
1654517184.2441912,3900,6429.2470703125
1654517194.958545,4000,6576.6142578125
1654517206.1618564,4100,6989.21044921875
1654517217.3153017,4200,6759.064453125
1654517228.4608028,4300,6835.623046875
1654517239.6539392,4400,6558.21826171875
1654517251.079345,4500,6386.24609375
1654517262.1661737,4600,7061.7060546875
1654517273.8021646,4700,6329.263671875
1654517284.906247,4800,6523.98095703125
1654517295.9805846,4900,6611.45703125
1654517307.2383163,5000,6638.60595703125
1654517318.1941168,5100,6596.775390625
1654517329.3373375,5200,6352.6435546875
1654517340.507067,5300,6678.6064453125
1654517351.6700292,5400,6698.40234375
1654517362.9410288,5500,6631.9970703125
1654517373.823783,5600,6890.89111328125
1654517385.0709906,5700,6648.001953125
1654517396.4050658,5800,6318.96875
1654517407.3476713,5900,6367.13427734375
1654517418.7319329,6000,6535.4814453125
1654517429.8888605,6100,6293.0888671875
1654517440.8405373,6200,6168.2470703125
1654517452.7375746,6300,6649.224609375
1654517464.0854938,6400,6216.3642578125
1654517474.7851055,6500,6129.09912109375
1654517486.243939,6600,6393.4873046875
1654517497.5596807,6700,6259.79638671875
1654517508.580151,6800,6213.07470703125
1654517519.7551754,6900,5908.9033203125
1654517531.4104333,7000,5904.107421875
1654517542.1112945,7100,6006.3310546875
1654517553.350901,7200,6188.39111328125
1654517564.6803257,7300,6202.861328125
1654517576.1560388,7400,6210.9140625
1654517587.2012732,7500,5940.57275390625
1654517598.5078924,7600,5850.0537109375
1654517609.6458175,7700,5715.31494140625
1654517620.853707,7800,5973.63671875
1654517631.75151,7900,6045.10205078125
1654517643.2934575,8000,5746.919921875
1654517654.3208666,8100,6009.958984375
1654517665.6424258,8200,5522.1640625
1654517677.0182283,8300,5424.69482421875
1654517688.0628035,8400,5881.666015625
1654517699.4221523,8500,6095.529296875
1654517710.2508526,8600,5705.9736328125
1654517721.5355701,8700,5682.6279296875
1654517732.7985544,8800,5732.4140625
1654517743.8720925,8900,6161.82958984375
1654517755.1897616,9000,5627.22119140625
1654517766.312355,9100,5861.41015625
1654517777.3202386,9200,5852.9248046875
1654517787.8865287,9300,5609.7568359375
1654517798.2089815,9400,5778.01953125
1654517808.5366178,9500,5571.9375
1654517819.188931,9600,5673.763671875
1654517829.465194,9700,5670.56201171875
1654517839.8553789,9800,5632.744140625
1654517850.8656695,9900,5575.9951171875
1654517861.4232912,10000,5453.89892578125
1654517871.650613,10100,6015.0185546875
1654517882.3920174,10200,5589.169921875
1654517892.7672713,10300,5882.0595703125
1654517903.3731394,10400,5165.4140625
1654517913.7814462,10500,5911.71630859375
1654517924.5457082,10600,5493.3173828125
1654517934.756749,10700,5538.91748046875
1654517945.150672,10800,5396.8916015625
1654517955.853606,10900,5324.3876953125
1654517966.1126752,11000,5528.0498046875
1654517976.8625128,11100,5637.90087890625
1654517987.1606402,11200,5711.11767578125
1654517997.984321,11300,5130.1845703125
1654518008.3476322,11400,5563.87646484375
1654518019.1768937,11500,5552.61181640625
1654518029.6990361,11600,5238.59375
1654518039.9025776,11700,5210.99462890625
1654518050.7864766,11800,5592.6064453125
1654518061.315658,11900,5319.3955078125
1654518071.702581,12000,5525.94921875
1654518082.4665594,12100,5559.7685546875
1654518092.7387357,12200,5420.3828125
1654518103.748422,12300,5478.85595703125
1654518114.3802607,12400,5582.73291015625
1654518124.8779218,12500,5578.88330078125
1654518135.0983837,12600,5665.5517578125
1654518145.6151772,12700,5257.4658203125
1654518156.2026594,12800,5410.20556640625
1654518166.9217587,12900,5316.0283203125
1654518177.4966862,13000,4676.26171875
1654518187.80628,13100,5148.064453125
1654518198.4361286,13200,5704.0732421875
1654518208.822018,13300,5404.62744140625
1654518219.3170822,13400,5027.90576171875
1654518229.7005992,13500,5818.03173828125
1654518240.2798228,13600,5429.119140625
1654518250.6943948,13700,5078.6591796875
1654518261.4438748,13800,5238.6533203125
1654518271.9706767,13900,5181.5576171875
1654518282.5311923,14000,5396.58984375
1654518292.8163888,14100,5297.4873046875
1654518303.6946938,14200,5356.10107421875
1654518314.262417,14300,5310.0400390625
1654518325.014945,14400,5114.14990234375
1654518335.3433046,14500,5466.3642578125
1654518345.8820558,14600,5311.3369140625
1654518356.683162,14700,5027.6484375
1654518367.0534844,14800,5091.9423828125
1654518377.8923764,14900,5447.7021484375
1654518388.2411075,15000,5671.513671875
1654518398.7468107,15100,5106.97900390625
1654518409.4532135,15200,5254.4951171875
1654518419.7749157,15300,4938.95654296875
1654518430.3131008,15400,5153.09375
1654518440.757021,15500,5270.892578125
1654518451.4828932,15600,4903.142578125
1654518461.9405925,15700,5472.615234375
1654518472.128301,15800,5431.44140625
1654518482.7224777,15900,5034.162109375
1654518493.086369,16000,4870.8681640625
1654518503.602065,16100,4958.60546875
1654518514.3104908,16200,5577.380859375
1654518524.5902927,16300,4967.5673828125
