Wall time,Step,Value
1654516755.9298556,0,11695.048828125
1654516767.0123358,100,9392.681640625
1654516777.535812,200,9083.85546875
1654516788.8321493,300,9233.322265625
1654516799.421975,400,8828.2763671875
1654516810.2657764,500,8849.603515625
1654516821.1150978,600,8470.380859375
1654516832.3664646,700,8606.6533203125
1654516843.1563873,800,8382.716796875
1654516854.3924057,900,7957.8251953125
1654516865.0204148,1000,8643.50390625
1654516875.9354599,1100,8313.740234375
1654516886.8337278,1200,7912.34375
1654516897.5433092,1300,8023.96142578125
1654516908.6020374,1400,7926.125
1654516919.3190303,1500,7751.0751953125
1654516929.8680449,1600,8006.962890625
1654516940.5787573,1700,7950.5771484375
1654516951.3727653,1800,7877.876953125
1654516961.8838031,1900,7738.72119140625
1654516972.6564,2000,7655.1962890625
1654516983.541896,2100,7659.5703125
1654516994.094829,2200,7540.27587890625
1654517005.2805493,2300,8076.23583984375
1654517016.3662152,2400,7378.74560546875
1654517027.8394582,2500,7364.8955078125
1654517038.8963213,2600,7461.98828125
1654517050.338335,2700,7646.9521484375
1654517061.2237594,2800,7686.19482421875
1654517072.3310986,2900,7769.513671875
1654517083.4719524,3000,7572.70263671875
1654517094.566208,3100,7452.9208984375
1654517105.8187022,3200,7280.83544921875
1654517117.1355102,3300,6792.5615234375
1654517127.8270404,3400,6728.19140625
1654517139.6161244,3500,7124.2626953125
1654517150.6491237,3600,6859.02001953125
1654517161.5786538,3700,7467.80712890625
1654517172.6810648,3800,7304.42138671875
1654517184.2431903,3900,6654.330078125
1654517194.9575448,4000,6809.8828125
1654517206.1608562,4100,7220.7802734375
1654517217.3153017,4200,6992.8271484375
1654517228.4608028,4300,7074.66650390625
1654517239.6529386,4400,6799.48046875
1654517251.078343,4500,6620.02490234375
1654517262.1651735,4600,7328.45166015625
1654517273.8021646,4700,6578.55126953125
1654517284.906247,4800,6771.931640625
1654517295.9795842,4900,6871.642578125
1654517307.2383163,5000,6905.1865234375
1654517318.1931171,5100,6854.64013671875
1654517329.3373375,5200,6616.60986328125
1654517340.5060673,5300,6941.72998046875
1654517351.6690276,5400,6985.47509765625
1654517362.9400287,5500,6902.6376953125
1654517373.823783,5600,7170.3876953125
1654517385.0699902,5700,6926.0234375
1654517396.4050658,5800,6597.55615234375
1654517407.3476713,5900,6630.84912109375
1654517418.7309325,6000,6806.2236328125
1654517429.8878644,6100,6582.1787109375
1654517440.8395374,6200,6460.423828125
1654517452.7365735,6300,6951.35791015625
1654517464.0854938,6400,6503.7021484375
1654517474.7851055,6500,6409.3291015625
1654517486.2430134,6600,6674.8017578125
1654517497.5596807,6700,6549.7724609375
1654517508.580151,6800,6513.6025390625
1654517519.7551754,6900,6188.05712890625
1654517531.4094331,7000,6202.3984375
1654517542.1102943,7100,6295.8818359375
1654517553.350901,7200,6477.1201171875
1654517564.6803257,7300,6503.9013671875
1654517576.1560388,7400,6501.9775390625
1654517587.2002718,7500,6239.7451171875
1654517598.5078924,7600,6158.302734375
1654517609.6458175,7700,6017.4736328125
1654517620.8527071,7800,6272.8095703125
1654517631.75151,7900,6354.11572265625
1654517643.292457,8000,6047.3076171875
1654517654.319867,8100,6312.373046875
