Wall time,Step,Value
1653455599.6268036,11000,7473.87646484375
1653455932.724184,11100,8324.1875
1653456269.2123485,11200,7906.7744140625
1653456614.7382662,11300,8194.099609375
1653456943.632753,11400,8128.1376953125
1653457270.2559218,11500,8218.2275390625
1653457756.1908839,11600,8135.12158203125
1653458233.2959886,11700,7907.18115234375
1653458700.9663537,11800,8143.4365234375
1653459183.82356,11900,7749.9853515625
1653459669.389596,12000,7918.91259765625
1653460157.8668764,12100,7780.140625
1653460634.518346,12200,7915.56298828125
1653461107.8157337,12300,7856.2001953125
1653461578.2719657,12400,7564.951171875
1653461918.4774551,12500,7649.59619140625
1653462244.7248054,12600,7380.2626953125
1653462702.581012,12700,8343.466796875
1653463184.296489,12800,7691.537109375
1653463678.7178683,12900,7629.4306640625
1653464150.097599,13000,7350.77001953125
1653464636.6612334,13100,7455.7255859375
1653465096.0310802,13200,7771.83203125
1653465592.8494375,13300,7430.62109375
1653466074.8743021,13400,6987.0703125
1653466558.1558957,13500,7524.3671875
1653467040.51757,13600,7527.8046875
1653467513.9139378,13700,7264.57421875
1653468002.1757493,13800,8045.7451171875
1653468478.9161458,13900,8045.2998046875
1653468959.155315,14000,7300.9384765625
1653469442.4240322,14100,7106.3876953125
1653469847.7966285,14200,7559.52734375
1653470192.0072541,14300,7713.2822265625
1653470583.2901742,14400,7956.5234375
1653471063.183879,14500,7656.5283203125
1653471543.2401884,14600,7457.08447265625
1653471868.8296835,14700,7631.52001953125
1653472204.9821901,14800,7882.3984375
1653472545.3842983,14900,7051.7392578125
1653473032.6144586,15000,7313.2001953125
1653473520.7061775,15100,7370.2158203125
1653473985.8033445,15200,7811.12451171875
1653474469.9319966,15300,7310.90625
1653474942.0755367,15400,7709.3564453125
1653475397.6572855,15500,7887.7490234375
1653475870.2963414,15600,7318.5126953125
1653476345.8835943,15700,7671.9873046875
1653476832.3062606,15800,7763.5068359375
1653477306.4550388,15900,7507.6962890625
1653477770.643729,16000,7679.42529296875
1653478251.9184957,16100,7798.0849609375
1653478703.8522086,16200,8111.7978515625
1653479187.7513306,16300,7849.0986328125
1653479664.453463,16400,7256.67529296875
1653480137.1664333,16500,7367.5478515625
1653480620.8614545,16600,7249.4716796875
1653481091.1609802,16700,7626.1884765625
1653481563.243605,16800,7635.7861328125
1653482043.956495,16900,7767.5126953125
1653482509.5774086,17000,7283.9462890625
1653482978.7024844,17100,7619.7392578125
1653483455.9913929,17200,7581.39501953125
1653483923.554315,17300,7465.4248046875
1653484400.772352,17400,7621.85986328125
1653484879.7807186,17500,7818.2080078125
1653485357.9838839,17600,7083.6923828125
1653485852.0909202,17700,7124.1162109375
1653486334.8985498,17800,7451.6025390625
1653486826.1552792,17900,7219.05322265625
1653487307.8099499,18000,7339.82470703125
1653487784.8331864,18100,7222.7431640625
1653488260.3447678,18200,6898.79052734375
1653488725.4412262,18300,7132.76171875
1653489225.0503964,18400,7515.6513671875
1653489703.5983796,18500,7786.1572265625
1653490192.0786495,18600,7650.1005859375
1653490679.6173766,18700,8121.62451171875
1653491161.7726426,18800,7057.529296875
1653491652.9863327,18900,7373.3828125
